LocationID,City,Country,Coordinates
321,DAEGU,"KOREA, SOUTH","(35.8667, 128.6)"
322,FORTALEZA,BRAZIL,"(-3.7275, -38.5275)"
323,GUATEMALA CITY,GUATEMALA,"(14.6099, -90.5252)"
324,YAOUNDE,CAMEROON,"(3.8578, 11.5181)"
325,DOUALA,CAMEROON,"(4.05, 9.7)"
326,JILIN,CHINA,"(43.85, 126.55)"
327,LIANSHAN,CHINA,"(40.7503, 120.83)"
328,LINCANG,CHINA,"(23.8864, 100.0871)"
329,ANTALYA,TURKEY,"(36.9081, 30.6956)"
330,TASHKENT,UZBEKISTAN,"(41.3, 69.2667)"
331,HUANGSHI,CHINA,"(30.2018, 115.0326)"
332,BANDUNG,INDONESIA,"(-6.95, 107.5667)"
333,NAGPUR,INDIA,"(21.1539, 79.0831)"
334,DANDONG,CHINA,"(40.1167, 124.3833)"
335,HUAINAN,CHINA,"(32.4831, 117.0164)"
336,SHANGZHOU,CHINA,"(33.868, 109.9244)"
337,BEKASI,INDONESIA,"(-6.2333, 107.0)"
338,GHAZIABAD,INDIA,"(28.6667, 77.4167)"
339,TIJUANA,MEXICO,"(32.525, -117.0333)"
340,JIAMUSI,CHINA,"(46.8081, 130.3653)"
341,YANGJIANG,CHINA,"(21.8556, 111.9627)"
342,ACCRA,GHANA,"(5.6037, -0.187)"
343,YUXI,CHINA,"(24.3495, 102.5432)"
344,FUSHUN,CHINA,"(41.8708, 123.8917)"
345,ANSHUN,CHINA,"(26.2456, 105.934)"
346,VANCOUVER,CANADA,"(49.25, -123.1)"
347,TANGERANG,INDONESIA,"(-6.1783, 106.6319)"
348,KONYA,TURKEY,"(37.8714, 32.4847)"
349,QUEENS,UNITED STATES,"(40.7498, -73.7976)"
350,YINGKOU,CHINA,"(40.6653, 122.2297)"
351,ADANA,TURKEY,"(37.0, 35.325)"
352,MEDAN,INDONESIA,"(3.6667, 98.6667)"
353,SANMENXIA,CHINA,"(34.7736, 111.195)"
354,INDORE,INDIA,"(22.7206, 75.8472)"
355,MA'ANSHAN,CHINA,"(31.7135, 118.3605)"
356,PINGLIANG,CHINA,"(35.5412, 106.6819)"
357,QUZHOU,CHINA,"(28.9545, 118.8763)"
358,BAKU,AZERBAIJAN,"(40.3667, 49.8352)"
359,GAOPING,CHINA,"(30.7804, 106.13)"
360,HUAIBEI,CHINA,"(33.9562, 116.789)"
361,XINING,CHINA,"(36.6239, 101.7787)"
362,YAN'AN,CHINA,"(36.5952, 109.4863)"
363,HAVANA,CUBA,"(23.1367, -82.3589)"
364,PHNOM PENH,CAMBODIA,"(11.5696, 104.921)"
365,FUKUOKA,JAPAN,"(33.5903, 130.4019)"
366,MOGADISHU,SOMALIA,"(2.0408, 45.3425)"
367,JINCHENG,CHINA,"(35.4906, 112.8483)"
368,LISHUI,CHINA,"(28.45, 119.9167)"
369,QINGYANG,CHINA,"(24.8141, 118.5792)"
370,RIVERSIDE,UNITED STATES,"(33.9381, -117.3948)"
371,BALTIMORE,UNITED STATES,"(39.3051, -76.6144)"
372,HAIPHONG,VIETNAM,"(20.8, 106.6667)"
373,LAS VEGAS,UNITED STATES,"(36.2333, -115.2654)"
374,LAIBIN,CHINA,"(23.7333, 109.2333)"
375,RAWALPINDI,PAKISTAN,"(33.6007, 73.0679)"
376,KUMASI,GHANA,"(6.6833, -1.6167)"
377,PORTLAND,UNITED STATES,"(45.5372, -122.65)"
378,VADODARA,INDIA,"(22.3, 73.2)"
379,PERTH,AUSTRALIA,"(-31.9522, 115.8589)"
380,PUNING,CHINA,"(23.2993, 116.1586)"
381,SAN ANTONIO,UNITED STATES,"(29.4658, -98.5253)"
382,HAIKOU,CHINA,"(20.02, 110.32)"
383,VISHAKHAPATNAM,INDIA,"(17.7333, 83.3167)"
384,GAZIANTEP,TURKEY,"(37.0667, 37.3833)"
385,MINSK,BELARUS,"(53.9022, 27.5618)"
386,ST. LOUIS,UNITED STATES,"(38.6358, -90.2451)"
387,BAMAKO,MALI,"(12.6458, -7.9922)"
388,QUITO,ECUADOR,"(-0.2186, -78.5097)"
389,PINGXIANG,CHINA,"(27.6333, 113.85)"
390,CHONGZUO,CHINA,"(22.4167, 107.3667)"
391,SANLIURFA,TURKEY,"(37.1583, 38.7917)"
392,KANANGA,CONGO (KINSHASA),"(-5.897, 22.4488)"
393,PESHAWAR,PAKISTAN,"(34.0, 71.5)"
394,SAPPORO,JAPAN,"(43.0621, 141.3544)"
395,JIXI,CHINA,"(45.2937, 130.965)"
396,CARACAS,VENEZUELA,"(10.5, -66.9333)"
397,FUXIN,CHINA,"(42.0127, 121.6486)"
398,LEEDS,UNITED KINGDOM,"(53.7997, -1.5492)"
399,SACRAMENTO,UNITED STATES,"(38.5667, -121.4683)"
400,BLANTYRE,MALAWI,"(-15.7861, 35.0058)"
401,TAINAN,TAIWAN,"(22.9833, 120.1833)"
402,BUCHAREST,ROMANIA,"(44.4, 26.0833)"
403,WUWEI,CHINA,"(37.9278, 102.6329)"
404,BHOPAL,INDIA,"(23.25, 77.4167)"
405,CURITIBA,BRAZIL,"(-25.4297, -49.2719)"
406,XIPING,CHINA,"(40.08, 113.3)"
407,ASUNCION,PARAGUAY,"(-25.3, -57.6333)"
408,SAIDU SHARIF,PAKISTAN,"(34.75, 72.3572)"
409,VIENNA,AUSTRIA,"(48.2083, 16.3731)"
410,ALEPPO,SYRIA,"(36.2, 37.15)"
411,HAMBURG,GERMANY,"(53.55, 10.0)"
412,MERU,KENYA,"(0.05, 37.65)"
413,BRAZZAVILLE,CONGO (BRAZZAVILLE),"(-4.2667, 15.2833)"
414,ORLANDO,UNITED STATES,"(28.4772, -81.3369)"
415,MERSIN,TURKEY,"(36.8, 34.6167)"
416,ALMATY,KAZAKHSTAN,"(43.25, 76.9)"
417,BARRANQUILLA,COLOMBIA,"(10.96, -74.8)"
418,KYOTO,JAPAN,"(35.0111, 135.7669)"
419,MANAUS,BRAZIL,"(-3.1, -60.0167)"
420,LIAOYANG,CHINA,"(41.2643, 123.1772)"
421,BAIYIN,CHINA,"(36.5448, 104.1766)"
422,SAN JOSE,UNITED STATES,"(37.3019, -121.8486)"
423,WARSAW,POLAND,"(52.2167, 21.0333)"
424,SHENGLI,CHINA,"(37.45, 118.4667)"
425,LUBUMBASHI,CONGO (KINSHASA),"(-11.6697, 27.4581)"
426,DAMASCUS,SYRIA,"(33.5131, 36.2919)"
427,SHUYANGZHA,CHINA,"(34.1299, 118.7734)"
428,SHANGQIU,CHINA,"(34.4504, 115.65)"
429,ESFAHAN,IRAN,"(32.6447, 51.6675)"
430,BUDAPEST,HUNGARY,"(47.4983, 19.0408)"
431,HEIHE,CHINA,"(50.2458, 127.4886)"
432,LUSAKA,ZAMBIA,"(-15.4167, 28.2833)"
433,DIYARBAKIR,TURKEY,"(37.9108, 40.2367)"
434,CHINCHVAD,INDIA,"(18.6278, 73.8131)"
435,SHUOZHOU,CHINA,"(39.3408, 112.4292)"
436,VITORIA,BRAZIL,"(-20.324, -40.366)"
437,CLEVELAND,UNITED STATES,"(41.4767, -81.6804)"
438,PITTSBURGH,UNITED STATES,"(40.4396, -79.9762)"
439,MECCA,SAUDI ARABIA,"(21.4225, 39.8261)"
440,PATNA,INDIA,"(25.61, 85.1414)"
441,MOSUL,IRAQ,"(36.3667, 43.1167)"
442,AUSTIN,UNITED STATES,"(30.3004, -97.7522)"
443,SANZHOU,CHINA,"(30.82, 108.4)"
444,CONAKRY,GUINEA,"(9.5092, -13.7122)"
445,KAMPALA,UGANDA,"(0.3136, 32.5811)"
446,ECATEPEC,MEXICO,"(19.6097, -99.06)"
447,CINCINNATI,UNITED STATES,"(39.1413, -84.5061)"
448,MAKASSAR,INDONESIA,"(-5.1331, 119.4136)"
449,YUSHAN,CHINA,"(31.3867, 120.9766)"
450,LUDHIANA,INDIA,"(30.9083, 75.8486)"
451,NEWCASTLE,UNITED KINGDOM,"(55.0077, -1.6578)"
452,DEPOK,INDONESIA,"(-6.394, 106.8225)"
453,ZHONGLI,TAIWAN,"(24.965, 121.2168)"
454,KANSAS CITY,UNITED STATES,"(39.1239, -94.5541)"
455,RABAT,MOROCCO,"(34.0253, -6.8361)"
456,OUAGADOUGOU,BURKINA FASO,"(12.3572, -1.5353)"
457,DAVAO,PHILIPPINES,"(7.0667, 125.6)"
458,MANHATTAN,UNITED STATES,"(40.7834, -73.9662)"
459,SEMARANG,INDONESIA,"(-6.9667, 110.4167)"
460,YINCHUAN,CHINA,"(38.4795, 106.2254)"
461,MULTAN,PAKISTAN,"(30.1978, 71.4711)"
462,CALOOCAN CITY,PHILIPPINES,"(14.65, 120.9667)"
